,Title,"Band Gap, HSE06","Dielectric Constant, Electronic",EBE
593,C3H10NGeBr3,3.89,3.27,3.1109013091597255
595,C3H10NGeBr3,3.48,3.32,2.724191429154633
597,C3H10NGeBr3,4.06,3.19,3.241334264474015
599,C3H10NGeBr3,4.2,3.17,3.3709715101865902
601,C3H10NGeBr3,3.84,3.4,3.119340450580798
603,C3H10NGeBr3,4.19,3.27,3.4109013091597253
605,C3H8NGeBr3,2.82,3.79,2.240024617533575
607,C3H8NGeBr3,2.83,3.81,2.256097616351088
609,C3H8NGeBr3,2.96,3.75,2.3675858210641083
611,C3H8NGeBr3,2.8,3.84,2.2350298128739436
613,C3H8NGeBr3,3.58,3.43,2.8718916105291186
615,C3H8NGeBr3,3.51,3.55,2.8489546208065084
617,C3H8NGeBr3,3.6,3.59,2.953603371227258
619,C3H8NGeBr3,4.03,3.75,3.4375858210641086
621,C3H8NGeBr3,4.1,3.63,3.4677705384964614
623,C3H8NGeBr3,4.1,3.64,3.4712395550593245
625,C3H8NGeBr3,3.97,3.61,3.3307458206055838
627,C3H8NGeBr3,4.08,3.36,3.3420797555904573
629,C3H8NGeBr3,3.76,3.81,3.1860976163510877
631,C3H8NGeBr3,3.62,3.77,3.033854710067194
633,C3H8NGeBr3,3.8,3.36,3.062079755590457
635,C3H8NGeBr3,3.89,3.34,3.143215928207719
637,C3H5N2GeBr3,2.88,3.67,2.261477003223279
639,C3H5N2GeBr3,3.13,3.71,2.5247425264793213
641,C3H5N2GeBr3,3.4,3.61,2.7607458206055835
643,C3H5N2GeBr3,3.16,3.69,2.548163689214535
645,C3H5N2GeBr3,3.87,3.82,3.2990984079873105
647,C3H5N2GeBr3,3.82,3.82,3.24909840798731
649,C3H5N2GeBr3,3.92,3.85,3.357960911365426
651,C3H5N2GeBr3,3.87,3.86,3.31086925881997
653,C2H8NGeI3,2.23,4.83,1.8728968193405615
655,C2H8NGeI3,2.34,4.7,1.9628689727801731
657,C2H8NGeI3,3.07,4.29,2.6173386695743894
659,C2H8NGeI3,3.1,4.36,2.6617569864023456
661,C2H8NGeI3,3.1,4.49,2.6867667128989456
663,C2H8NGeI3,3.1,4.32,2.653603802764598
665,C2H8NGeI3,3.15,4.2,2.6777310435778925
667,C2H8NGeI3,2.84,4.56,2.439356321594819
669,C2H8NGeI3,3.14,4.37,2.703760380413262
671,C2H8NGeI3,3.04,4.35,2.5997397600060257
673,C2H8NGeI3,2.24,4.41,1.8116381347645287
675,C2H8NGeI3,3.33,4.17,2.85091136349706
677,C3H10NGeI3,2.63,3.93,2.0906100142256685
679,C3H10NGeI3,2.52,4.03,2.007046629725817
681,C3H10NGeI3,2.47,4.07,1.9670797052028102
683,C3H10NGeI3,2.41,4.31,1.9615299556265322
685,C3H10NGeI3,2.5,4.14,2.0139428929913197
687,C3H10NGeI3,2.57,4.37,2.133760380413262
689,C3H10NGeI3,3.32,3.98,2.7940773975855424
691,C3H10NGeI3,3.45,3.74,2.8544135955213212
693,C3H10NGeI3,3.4,3.63,2.7677705384964617
